Player,Age,Pos,GP,G,A,PTS,+/-,PIM,TOI,ATOI
Alex Ovechkin,26,Left Wing,78,38,27,65,-8,26,1544,19:48
Nicklas Backstrom,24,Center,42,14,30,44,-4,24,805,19:10
Jay Beagle,26,Center,41,4,1,5,-2,23,486,11:51
John Carlson,22,Defense,82,9,23,32,-15,22,1792,21:52
Braden Holtby,22,Goalie,7,0,0,0,0,0,361,51:31
Dmitry Orlov,20,Defense,60,3,16,19,1,18,1012,16:52
