Player,Age,Pos,GP,G,A,PTS,+/-,PIM,TOI,ATOI
Alex Ovechkin,25,Left Wing,79,32,53,85,24,41,1688,21:22
Nicklas Backstrom,23,Center,77,18,47,65,24,40,1586,20:36
Jay Beagle,25,Center,31,2,1,3,-2,8,326,10:30
John Carlson,21,Defense,82,7,30,37,21,44,1857,22:39
Braden Holtby,21,Goalie,14,0,1,1,0,0,736,52:34
