Player,Age,Pos,GP,G,A,PTS,+/-,PIM,TOI,ATOI
Alex Ovechkin,32,Left Wing,82,49,38,87,3,32,1652,20:09
Nicklas Backstrom,30,Center,81,21,50,71,5,46,1593,19:40
Jay Beagle,32,Right Wing,79,7,15,22,3,16,983,12:27
John Carlson,28,Defense,82,15,53,68,0,32,2032,24:47
Braden Holtby,28,Goalie,54,0,0,0,0,2,3068,56:49
Dmitry Orlov,26,Defense,82,10,21,31,10,22,1897,23:08
Philipp Grubauer,26,Goalie,35,0,1,1,0,0,1865,53:17
Evgeny Kuznetsov,25,Center,79,27,56,83,3,48,1486,18:49
Tom Wilson,23,Right Wing,78,14,21,35,10,187,1247,15:59
Matt Niskanen,31,Defense,68,7,22,29,24,36,1537,22:36
Brooks Orpik,37,Defense,81,0,10,10,-9,68,1569,19:22
Andre Burakovsky,22,Left Wing,56,12,13,25,3,27,775,13:50
T.J. Oshie,31,Right Wing,74,18,29,47,2,31,1362,18:25
Chandler Stephenson,23,Center,67,6,12,18,13,8,795,11:52
Lars Eller,28,Center,81,18,20,38,-6,38,1239,15:18
Brett Connolly,25,Right Wing,70,15,12,27,-6,30,840,12:00
Jakub Vrana,21,Left Wing,73,13,14,27,2,12,912,12:30
Devante Smith-Pelly,25,Right Wing,75,7,9,16,-6,38,926,12:21
Michal Kempny,27,Defense,22,2,1,3,1,14,368,16:45
Alex Chiasson,27,Right Wing,61,9,9,18,1,26,718,11:46
Christian Djoos,23,Defense,63,3,11,14,13,10,884,14:02
Madison Bowey,22,Defense,51,0,12,12,-3,24,699,13:43
Jakub Jerabek,26,Defense,11,1,3,4,-1,0,154,13:59
Nathan Walker,23,Left Wing,7,1,0,1,1,4,64,9:12
Travis Boyd,24,Center,8,0,1,1,2,2,71,8:50
Shane Gersich,21,Left Wing,3,0,1,1,-1,0,27,9:01
