Player,Age,Pos,GP,G,A,PTS,+/-,PIM,TOI,ATOI
Alex Ovechkin,29,Left Wing,81,53,28,81,10,58,1646,20:20
Nicklas Backstrom,27,Center,82,18,60,78,5,40,1683,20:32
Jay Beagle,29,Right Wing,62,10,10,20,6,20,794,12:49
John Carlson,25,Defense,82,12,43,55,11,28,1892,23:04
Braden Holtby,25,Goalie,73,0,2,2,0,2,4247,58:11
Dmitry Orlov,23,Defense,0,0,0,0,0,0,0,0:00
Philipp Grubauer,23,Goalie,1,0,0,0,0,0,65,65:00
Evgeny Kuznetsov,22,Center,80,11,26,37,10,24,1066,13:20
Tom Wilson,20,Right Wing,67,4,13,17,-1,172,733,10:56
Matt Niskanen,28,Defense,82,4,27,31,7,47,1833,22:21
Brooks Orpik,34,Defense,78,0,19,19,5,66,1700,21:48
Andre Burakovsky,19,Left Wing,53,9,13,22,12,10,685,12:55
