Player,Age,Pos,GP,G,A,PTS,+/-,PIM,TOI,ATOI
Alex Ovechkin,30,Left Wing,79,50,21,71,21,53,1604,20:19
Nicklas Backstrom,28,Center,75,20,50,70,17,36,1439,19:11
Jay Beagle,30,Right Wing,57,8,9,17,0,24,799,14:01
John Carlson,26,Defense,56,8,31,39,16,14,1327,23:42
Braden Holtby,26,Goalie,66,0,1,1,0,6,3841,58:12
Dmitry Orlov,24,Defense,82,8,21,29,8,26,1314,16:02
Philipp Grubauer,24,Goalie,22,0,0,0,0,2,1111,50:30
Evgeny Kuznetsov,23,Center,82,20,57,77,27,32,1428,17:25
Tom Wilson,21,Right Wing,82,7,16,23,3,163,1059,12:55
Matt Niskanen,29,Defense,82,5,27,32,10,38,2022,24:40
Brooks Orpik,35,Defense,41,3,7,10,11,24,812,19:49
Andre Burakovsky,20,Left Wing,79,17,21,38,4,12,1029,13:01
T.J. Oshie,29,Right Wing,80,26,25,51,16,34,1517,18:58
Chandler Stephenson,21,Center,9,0,0,0,-3,2,71,7:51
