Player,Age,Pos,GP,G,A,PTS,+/-,PIM,TOI,ATOI
Alex Ovechkin,24,Left Wing,72,50,59,109,45,89,1569,21:48
Nicklas Backstrom,22,Center,82,33,68,101,37,50,1677,20:27
Jay Beagle,24,Center,7,1,1,2,-1,2,65,9:16
John Carlson,20,Defense,22,1,5,6,11,8,335,15:15
