Player,Age,Pos,GP,G,A,PTS,+/-,PIM,TOI,ATOI
Alex Ovechkin\ovechal01,32,LW,82,49,38,87,3,32,1652,20:09
Nicklas Backstrom\backsni02,30,C,81,21,50,71,5,46,1593,19:40
Jay Beagle\beaglja01,32,RW,79,7,15,22,3,16,983,12:27
John Carlson\carlsjo01,28,D,82,15,53,68,0,32,2032,24:47
Braden Holtby\holtbbr01,28,G,54,0,0,0,0,2,3068,56:49
Dmitry Orlov\orlovdm01,26,D,82,10,21,31,10,22,1897,23:08
Philipp Grubauer\grubaph01,26,G,35,0,1,1,0,0,1865,53:17
Evgeny Kuznetsov\kuzneev01,25,C,79,27,56,83,3,48,1486,18:49
Tom Wilson\wilsoto01,23,RW,78,14,21,35,10,187,1247,15:59
Matt Niskanen\niskama01,31,D,68,7,22,29,24,36,1537,22:36
Brooks Orpik\orpikbr01,37,D,81,0,10,10,-9,68,1569,19:22
Andre Burakovsky\burakan01,22,LW,56,12,13,25,3,27,775,13:50
T.J. Oshie\oshietj01,31,RW,74,18,29,47,2,31,1362,18:25
Chandler Stephenson\stephch02,23,C,67,6,12,18,13,8,795,11:52
Lars Eller\ellerla01,28,C,81,18,20,38,-6,38,1239,15:18
Brett Connolly\connobr01,25,RW,70,15,12,27,-6,30,840,12:00
Jakub Vrana\vranaja01,21,LW,73,13,14,27,2,12,912,12:30
Devante Smith-Pelly\smithde06,25,RW,75,7,9,16,-6,38,926,12:21
Michal Kempny\kempnmi01,27,D,22,2,1,3,1,14,368,16:45
Alex Chiasson\chiasal01,27,RW,61,9,9,18,1,26,718,11:46
Christian Djoos\djoosch01,23,D,63,3,11,14,13,10,884,14:02
Madison Bowey\boweyma01,22,D,51,0,12,12,-3,24,699,13:43
Jakub Jerabek\jerabja01,26,D,11,1,3,4,-1,0,154,13:59
Nathan Walker\walkena01,23,LW,7,1,0,1,1,4,64,9:12
Travis Boyd\boydtr01,24,C,8,0,1,1,2,2,71,8:50
Shane Gersich\gersish01,21,LW,3,0,1,1,-1,0,27,9:01
