Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,TOI,ATOI
1,Alex Ovechkin\ovechal01,26,LW,78,38,27,65,-8,26,1544,19:48
5,Nicklas Backstrom\backsni02,24,C,42,14,30,44,-4,24,805,19:10
9,John Carlson\carlsjo01,22,D,82,9,23,32,-15,22,1792,21:52
11,Dmitry Orlov\orlovdm01,20,D,60,3,16,19,1,18,1012,16:52
22,Jay Beagle\beaglja01,26,C,41,4,1,5,-2,23,486,11:51
27,Braden Holtby\holtbbr01,22,G,7,0,0,0,0,0,361,51:31
