Player,Age,Pos,GP,G,A,PTS,+/-,PIM,TOI,ATOI
Alex Ovechkin,22,Left Wing,82,65,47,112,28,40,1894,23:06
Nicklas Backstrom,20,Center,82,14,55,69,13,24,1557,19:00
