Player,Age,Pos,GP,G,A,PTS,+/-,PIM,TOI,ATOI
Alex Ovechkin,23,Left Wing,79,56,54,110,8,72,1817,23:00
Nicklas Backstrom,21,Center,82,22,66,88,16,46,1635,19:57
Jay Beagle,23,Center,3,0,0,0,-3,2,23,7:36
