Player,Age,Pos,GP,G,A,PTS,+/-,PIM,TOI,ATOI
Alex Ovechkin,27,RW,48,32,24,56,2,36,1002,20:53
Nicklas Backstrom,25,C,48,8,40,48,8,20,955,19:54
Jay Beagle,27,C,48,2,6,8,-1,14,581,12:06
John Carlson,23,D,48,6,16,22,11,18,1105,23:01
Braden Holtby,23,G,36,0,2,2,0,2,2089,58:02
Dmitry Orlov,21,D,5,0,1,1,5,0,75,14:57
Philipp Grubauer,21,G,2,0,0,0,0,0,84,41:59
